avg_norm_adj,avg_norm_g,avg_norm_grads_f,avg_norm_k,avg_norm_k_dot_g,entropy,explained_variance,fps,loss,loss_bc,loss_f,loss_policy,loss_q,mean_episode_length,mean_episode_reward,norm_grads,norm_grads_policy,norm_grads_q,total_timesteps
0.12136168777942657,3.3125178813934326,3.2337255477905273,2.449475049972534,3.31457257270813,1.791748285293579,-0.12213015556335449,0,0.4493181109428406,-0.0,0.30449002981185913,0.30449002981185913,0.32549113035202026,0,0,1.487862467765808,0.6316238641738892,1.3468751907348633,0
0.2344551980495453,1.999459981918335,1.858945369720459,2.4498963356018066,1.9795901775360107,1.7916444540023804,-0.03589344024658203,784,-0.4977831542491913,-0.0,-0.5617285966873169,-0.5617285966873169,0.16372375190258026,930.4285714285714,-20.285714285714285,1.2344895601272583,0.2603379786014557,1.2063401937484741,8000
0.13192963600158691,1.5960420370101929,1.5139803886413574,2.450410842895508,1.6178948879241943,1.7915794849395752,0.002801179885864258,822,-0.10159461945295334,-0.0,-0.12301471084356308,-0.12301471084356308,0.07867176830768585,936.375,-20.1875,0.5796526670455933,0.35086241364479065,0.4608481228351593,16000
0.1845180094242096,2.121917724609375,2.000504732131958,2.453601121902466,2.128464460372925,1.790825605392456,0.01268547773361206,828,-0.27132081985473633,-0.0,-0.3027060031890869,-0.3027060031890869,0.09858684986829758,953.0416666666666,-20.0,1.221758246421814,0.5551232695579529,1.0759222507476807,24000
0.03345619887113571,1.5943500995635986,1.572638988494873,2.459693670272827,1.6533464193344116,1.7887523174285889,0.010644793510437012,835,0.3220718502998352,-0.0,0.314200758934021,0.314200758934021,0.051517240703105927,953.78125,-20.03125,1.3586021661758423,0.5581262111663818,1.2316317558288574,32000
0.08380360901355743,1.275199294090271,1.218809723854065,2.5092411041259766,1.2969979047775269,1.7832180261611938,0.000882565975189209,839,-0.05639144033193588,-0.0,-0.061355531215667725,-0.061355531215667725,0.0455925390124321,966.65,-19.9,0.5106338858604431,0.3482167422771454,0.368461549282074,40000
0.36853694915771484,3.273648500442505,3.0333237648010254,2.471735715866089,3.3481178283691406,1.7733043432235718,-0.005893707275390625,796,-0.6422041058540344,-0.0,-0.7085846662521362,-0.7085846662521362,0.1682271957397461,960.575,-19.95,1.6090315580368042,0.39718592166900635,1.4069210290908813,48000
0.2260431945323944,2.0241236686706543,1.880491852760315,2.442852735519409,2.0227527618408203,1.7779306173324585,-0.00028264522552490234,773,-0.41285240650177,-0.0,-0.45224934816360474,-0.45224934816360474,0.11435248702764511,963.525,-19.925,0.9934737682342529,0.11140371859073639,0.9704570770263672,56000
0.13094207644462585,1.6758438348770142,1.5892987251281738,2.5159752368927,1.6511859893798828,1.7352206707000732,-0.004856705665588379,749,-0.24840804934501648,-0.0,-0.272181898355484,-0.272181898355484,0.08225211501121521,955.025,-19.975,0.6647774577140808,0.1864350438117981,0.7244479060173035,64000
0.18984362483024597,2.129504919052124,2.0108375549316406,2.4379265308380127,2.1251254081726074,1.7800754308700562,0.009137213230133057,735,-0.21679116785526276,-0.0,-0.25159892439842224,-0.25159892439842224,0.10521700233221054,931.85,-20.1,0.5111274719238281,0.25548863410949707,0.4150784909725189,72000
0.08421660214662552,1.9715759754180908,1.9204078912734985,2.4555716514587402,1.9428116083145142,1.775208830833435,0.014733850955963135,726,0.21621069312095642,-0.0,0.16961242258548737,0.16961242258548737,0.12870070338249207,912.025,-20.275,0.2780159115791321,0.14325577020645142,0.20708133280277252,80000
0.310838520526886,2.5478200912475586,2.348982810974121,2.4698281288146973,2.559518337249756,1.7670209407806396,0.014895021915435791,717,-0.6503289341926575,-0.0,-0.7128592729568481,-0.7128592729568481,0.16040107607841492,912.675,-20.325,1.0985479354858398,0.2946934998035431,1.0807877779006958,88000
0.00394219858571887,1.2732055187225342,1.270264983177185,2.464257001876831,1.321173906326294,1.7681376934051514,0.05343097448348999,712,0.336272269487381,-0.0,0.3375045657157898,0.3375045657157898,0.03289821743965149,923.05,-20.325,0.4935387372970581,0.09494274109601974,0.467681348323822,96000
0.0842956155538559,1.1722838878631592,1.1219754219055176,2.4431471824645996,1.1645113229751587,1.7843793630599976,-0.13869047164916992,705,-0.03641064465045929,-0.0,-0.0433795340359211,-0.0433795340359211,0.049625370651483536,919.575,-20.4,0.11609819531440735,0.082053042948246,0.07069303095340729,104000
0.2496759444475174,2.598266124725342,2.436272144317627,2.4629642963409424,2.6098175048828125,1.769813895225525,-0.255487322807312,701,-0.38824227452278137,-0.0,-0.44289517402648926,-0.44289517402648926,0.14470209181308746,929.75,-20.225,0.5353514552116394,0.15970280766487122,0.5458295941352844,112000
0.08836722373962402,1.3108172416687012,1.2496691942214966,2.513723850250244,1.3454084396362305,1.7454010248184204,0.45873820781707764,697,-0.1329343318939209,-0.0,-0.13596633076667786,-0.13596633076667786,0.040972013026475906,942.125,-20.225,0.26880937814712524,0.13262240588665009,0.2088501751422882,120000
0.03750298172235489,1.190929651260376,1.1656023263931274,2.489823579788208,1.2370904684066772,1.7378857135772705,0.08437007665634155,693,0.12712900340557098,-0.0,0.12910506129264832,0.12910506129264832,0.030805591493844986,936.775,-20.175,0.22066651284694672,0.04460474103689194,0.2030888795852661,128000
0.04274936765432358,1.0307681560516357,1.004040002822876,2.4445013999938965,1.0200915336608887,1.736788034439087,0.5897440910339355,691,-0.014051910489797592,-0.0,-0.011299630627036095,-0.011299630627036095,0.029231201857328415,924.225,-20.275,0.15458790957927704,0.1258077472448349,0.08464261144399643,136000
